,nombre,fecha_nac,cargo,partido,status,inicio,fin,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,legislatura,fecha_inicio_l,fecha_fin_l,legislaturas_agrupadas
50,"FARAONE CAVIGLIA, CESAR",1949-03-08,Diputado,Frente Amplio,Suplente,2009,2010,FARAONE,CAVIGLIA,CESAR,,1,46,2005-02-15,2010-02-14,1985-2025
51,"FERNANDEZ AIZCORBE, MARTIN",1974-02-05,Diputado,Partido Nacional,Suplente,2005,2010,FERNANDEZ,AIZCORBE,MARTIN,,1,46,2005-02-15,2010-02-14,1985-2025
52,"FERNANDEZ DA SILVA, JULIO CESAR",1929-07-07,Diputado,Frente Amplio,Titular,2005,2010,FERNANDEZ,DA SILVA,JULIO,CESAR,1,46,2005-02-15,2010-02-14,1985-2025
53,"FERNANDEZ GORDILLO, DAVID EULOGIO",1958-11-10,Diputado,Partido Nacional,Suplente,2005,2010,FERNANDEZ,GORDILLO,DAVID,EULOGIO,1,46,2005-02-15,2010-02-14,1985-2025
54,"FERNANDEZ HUIDOBRO, ELEUTERIO",1942-03-14,Diputado,Frente Amplio,Titular,2010,2010,FERNANDEZ,HUIDOBRO,ELEUTERIO,,1,46,2005-02-15,2010-02-14,1985-2025
54,"FERNANDEZ HUIDOBRO, ELEUTERIO",1942-03-14,Senador,Frente Amplio,Titular,2005,2009,FERNANDEZ,HUIDOBRO,ELEUTERIO,,1,46,2005-02-15,2010-02-14,1985-2025
55,"FERNANDEZ RODRIGUEZ, EDUARDO RUBEN",1951-01-09,Diputado,Frente Amplio,Suplente,2005,2010,FERNANDEZ,RODRIGUEZ,EDUARDO,RUBEN,1,46,2005-02-15,2010-02-14,1985-2025
56,"FERRAZ BRAGA, NERY DARIO",1936-04-20,Diputado,Partido Nacional,Suplente,2006,2010,FERRAZ,BRAGA,NERY,DARIO,1,46,2005-02-15,2010-02-14,1985-2025
57,"FERREIRA LEMOS, BLANCA ESTHER",1958-07-18,Diputado,Frente Amplio,Suplente,2005,2010,FERREIRA,LEMOS,BLANCA,ESTHER,0,46,2005-02-15,2010-02-14,1985-2025
58,"FIORDELMONDO DOS SANTOS, JULIO CESAR",1947-09-30,Diputado,Frente Amplio,Suplente,2006,2010,FIORDELMONDO,DOS SANTOS,JULIO,CESAR,1,46,2005-02-15,2010-02-14,1985-2025
59,"FLANGINI BERTRAN, YAMANDU ESTEBAN",1933-04-19,Diputado,Partido Colorado,Suplente,2005,2010,FLANGINI,BERTRAN,YAMANDU,ESTEBAN,1,46,2005-02-15,2010-02-14,1985-2025
60,"FONTICIELLA DE ABREU, RAMON ANGEL",1947-08-31,Diputado,Frente Amplio,Titular,2005,2005,FONTICIELLA,DE ABREU,RAMON,ANGEL,1,46,2005-02-15,2010-02-14,1985-2025
61,"FRACHIA BRAIDA, ROBERTO FRANCISCO",1943-11-21,Diputado,Frente Amplio,Suplente,2009,2009,FRACHIA,BRAIDA,ROBERTO,FRANCISCO,1,46,2005-02-15,2010-02-14,1985-2025
61,"FRACHIA BRAIDA, ROBERTO FRANCISCO",1943-11-21,Diputado,Frente Amplio,Suplente,2007,2007,FRACHIA,BRAIDA,ROBERTO,FRANCISCO,1,46,2005-02-15,2010-02-14,1985-2025
62,"FRATTI SILVEIRA, LUIS ALFREDO",1956-10-23,Diputado,Frente Amplio,Titular,2005,2005,FRATTI,SILVEIRA,LUIS,ALFREDO,1,46,2005-02-15,2010-02-14,1985-2025
63,"GABITO MIRA, JORGE GASTON",1955-01-25,Diputado,Partido Nacional,Suplente,2005,2010,GABITO,MIRA,JORGE,GASTON,1,46,2005-02-15,2010-02-14,1985-2025
64,"GADEA CASTRO, ANA LAURA",1979-07-23,Diputado,Partido Nacional,Suplente,2005,2010,GADEA,CASTRO,ANA,LAURA,0,46,2005-02-15,2010-02-14,1985-2025
65,"GALBARINI ALVAREZ, LUIS ALBERTO",1949-08-02,Diputado,Partido Nacional,Suplente,2005,2010,GALBARINI,ALVAREZ,LUIS,ALBERTO,1,46,2005-02-15,2010-02-14,1985-2025
66,"GALLICCHIO QUEIROLO, ANTONIO",1944-08-18,Diputado,Frente Amplio,Suplente,2008,2009,GALLICCHIO,QUEIROLO,ANTONIO,,1,46,2005-02-15,2010-02-14,1985-2025
66,"GALLICCHIO QUEIROLO, ANTONIO",1944-08-18,Senador,Frente Amplio,Suplente,2008,2009,GALLICCHIO,QUEIROLO,ANTONIO,,1,46,2005-02-15,2010-02-14,1985-2025
67,"GALLINAL NIETO, FRANCISCO GUSTAVO APARICIO",1957-05-10,Senador,Partido Nacional,Titular,2005,2010,GALLINAL,NIETO,FRANCISCO,GUSTAVO,1,46,2005-02-15,2010-02-14,1985-2025
68,"GALLO CANTERA, LUIS ENRIQUE",1961-01-14,Diputado,Frente Amplio,Suplente,2005,2010,GALLO,CANTERA,LUIS,ENRIQUE,1,46,2005-02-15,2010-02-14,1985-2025
69,"GALLO IMPERIALE, LUIS JOSE",1934-05-31,Diputado,Frente Amplio,Titular,2005,2009,GALLO,IMPERIALE,LUIS,JOSE,1,46,2005-02-15,2010-02-14,1985-2025
70,"GAMBETTA LABANDERA, SCHUBERT DARIO",1948-09-05,Diputado,Partido Nacional,Suplente,2005,2005,GAMBETTA,LABANDERA,SCHUBERT,DARIO,1,46,2005-02-15,2010-02-14,1985-2025
71,"GAMOU FASADELLO, ADOLFO CARLOS",1959-08-09,Diputado,Frente Amplio,Titular,2005,2010,GAMOU,FASADELLO,ADOLFO,CARLOS,1,46,2005-02-15,2010-02-14,1985-2025
71,"GAMOU FASADELLO, ADOLFO CARLOS",1959-08-09,Senador,Frente Amplio,Suplente,2005,2009,GAMOU,FASADELLO,ADOLFO,CARLOS,1,46,2005-02-15,2010-02-14,1985-2025
72,"GANDINI ASTESIANO, JORGE OSVALDO",1958-03-05,Diputado,Partido Nacional,Titular,2005,2010,GANDINI,ASTESIANO,JORGE,OSVALDO,1,46,2005-02-15,2010-02-14,1985-2025
72,"GANDINI ASTESIANO, JORGE OSVALDO",1958-03-05,Senador,Partido Nacional,Suplente,2005,2010,GANDINI,ASTESIANO,JORGE,OSVALDO,1,46,2005-02-15,2010-02-14,1985-2025
73,"GARCIA DA ROSA, LUIS NORBERTO",1946-11-08,Diputado,Partido Nacional,Suplente,2005,2010,GARCIA,DA ROSA,LUIS,NORBERTO,1,46,2005-02-15,2010-02-14,1985-2025
74,"GARCIA DUCHINI, JAVIER FERNANDO",1963-11-28,Diputado,Partido Nacional,Titular,2005,2010,GARCIA,DUCHINI,JAVIER,FERNANDO,1,46,2005-02-15,2010-02-14,1985-2025
75,"GARCIA PEREYRA, FERNANDO",,Diputado,Partido Nacional,Suplente,2005,2010,GARCIA,PEREYRA,FERNANDO,,1,46,2005-02-15,2010-02-14,1985-2025
76,"GARCIA PINTOS CAMPO, DANIEL ROGELIO",1950-10-01,Diputado,Partido Colorado,Titular,2005,2010,GARCIA,PINTOS CAMPO,DANIEL,ROGELIO,1,46,2005-02-15,2010-02-14,1985-2025
77,"GARGANO OSTUNI, REINALDO APOLO",1934-07-26,Senador,Frente Amplio,Titular,2005,2010,GARGANO,OSTUNI,REINALDO,APOLO,1,46,2005-02-15,2010-02-14,1985-2025
78,"GAUTHIER PEYROT, NORA REINA",1949-09-12,Diputado,Frente Amplio,Titular,2005,2010,GAUTHIER,PEYROT,NORA,REINA,0,46,2005-02-15,2010-02-14,1985-2025
79,"GOMEZ MELLO, CESAR CLELIO",1942-03-10,Diputado,Frente Amplio,Suplente,2006,2006,GOMEZ,MELLO,CESAR,CLELIO,1,46,2005-02-15,2010-02-14,1985-2025
80,"GONI ROMERO, JOSE RODRIGO",1962-08-10,Diputado,Partido Nacional,Titular,2005,2010,GONI,ROMERO,JOSE,RODRIGO,1,46,2005-02-15,2010-02-14,1985-2025
81,"GONZALEZ ALVAREZ, CARLOS HUGO",1943-10-20,Diputado,Partido Nacional,Titular,2005,2010,GONZALEZ,ALVAREZ,CARLOS,HUGO,1,46,2005-02-15,2010-02-14,1985-2025
82,"GONZALEZ RIOS, LUIS ALBERTO",1951-12-07,Diputado,Partido Independiente,Suplente,2010,2010,GONZALEZ,RIOS,LUIS,ALBERTO,1,46,2005-02-15,2010-02-14,1985-2025
82,"GONZALEZ RIOS, LUIS ALBERTO",1951-12-07,Diputado,Partido Independiente,Suplente,2006,2009,GONZALEZ,RIOS,LUIS,ALBERTO,1,46,2005-02-15,2010-02-14,1985-2025
83,"GROBA ARRIONDO, OSCAR",1951-01-10,Diputado,Frente Amplio,Suplente,2005,2010,GROBA,ARRIONDO,OSCAR,,1,46,2005-02-15,2010-02-14,1985-2025
84,"GUADALUPE ALVAREZ, EDUARDO AMADEO",1959-10-08,Diputado,Partido Nacional,Suplente,2005,2009,GUADALUPE,ALVAREZ,EDUARDO,AMADEO,1,46,2005-02-15,2010-02-14,1985-2025
85,"GUADALUPE BRENNA, DIEGO",1960-01-16,Diputado,Partido Nacional,Suplente,2005,2009,GUADALUPE,BRENNA,DIEGO,,1,46,2005-02-15,2010-02-14,1985-2025
86,"GUARINO, GUSTAVO",1950-04-14,Senador,Frente Amplio,Suplente,2009,2009,GUARINO,,GUSTAVO,,1,46,2005-02-15,2010-02-14,1985-2025
86,"GUARINO, GUSTAVO",1950-04-14,Diputado,Frente Amplio,Titular,2005,2010,GUARINO,,GUSTAVO,,1,46,2005-02-15,2010-02-14,1985-2025
86,"GUARINO, GUSTAVO",1950-04-14,Senador,Frente Amplio,Suplente,2005,2005,GUARINO,,GUSTAVO,,1,46,2005-02-15,2010-02-14,1985-2025
87,"HACKENBRUCH LEGNANI, TABARE YAMANDU",1966-02-10,Diputado,Partido Colorado,Titular,2005,2010,HACKENBRUCH,LEGNANI,TABARE,YAMANDU,1,46,2005-02-15,2010-02-14,1985-2025
88,"HEBER FONTANA, LUIS ALBERTO",1957-12-22,Senador,Partido Nacional,Titular,2005,2010,HEBER,FONTANA,LUIS,ALBERTO,1,46,2005-02-15,2010-02-14,1985-2025
89,"HEBER FULLGRAFF, ARTURO DE MARIA AUXILIADORA",1950-06-20,Senador,Partido Nacional,Suplente,2005,2007,HEBER,FULLGRAFF,ARTURO,DE,1,46,2005-02-15,2010-02-14,1985-2025
90,"HERNANDEZ ROCHA, UBERFIL DOROTEO",1938-11-02,Diputado,Frente Amplio,Titular,2005,2010,HERNANDEZ,ROCHA,UBERFIL,DOROTEO,1,46,2005-02-15,2010-02-14,1985-2025
91,"IBARRA FERREIRA, DOREEN JAVIER",1934-05-03,Diputado,Frente Amplio,Titular,2005,2010,IBARRA,FERREIRA,DOREEN,JAVIER,1,46,2005-02-15,2010-02-14,1985-2025
92,"IGORRA CAIRO, JAIME NELSON",1939-07-08,Diputado,Frente Amplio,Suplente,2008,2008,IGORRA,CAIRO,JAIME,NELSON,1,46,2005-02-15,2010-02-14,1985-2025
92,"IGORRA CAIRO, JAIME NELSON",1939-07-08,Diputado,Frente Amplio,Suplente,2005,2005,IGORRA,CAIRO,JAIME,NELSON,1,46,2005-02-15,2010-02-14,1985-2025
93,"INZAURRALDE CANO, MARCELO DEL VALLE",1974-06-06,Diputado,Partido Colorado,Suplente,2005,2007,INZAURRALDE,CANO,MARCELO,DEL,1,46,2005-02-15,2010-02-14,1985-2025
94,"ISABELLA REVETRIA, FERNANDO RAFAEL",1977-08-09,Diputado,Frente Amplio,Suplente,2005,2005,ISABELLA,REVETRIA,FERNANDO,RAFAEL,1,46,2005-02-15,2010-02-14,1985-2025
95,"ITURRALDE VINAS, PABLO LUIS",1959-09-23,Senador,Partido Nacional,Suplente,2010,2010,ITURRALDE,VINAS,PABLO,LUIS,1,46,2005-02-15,2010-02-14,1985-2025
95,"ITURRALDE VINAS, PABLO LUIS",1959-09-23,Diputado,Partido Nacional,Titular,2005,2010,ITURRALDE,VINAS,PABLO,LUIS,1,46,2005-02-15,2010-02-14,1985-2025
95,"ITURRALDE VINAS, PABLO LUIS",1959-09-23,Senador,Partido Nacional,Suplente,2005,2009,ITURRALDE,VINAS,PABLO,LUIS,1,46,2005-02-15,2010-02-14,1985-2025
96,"KECHICHIAN GARCIA, NORMA LILIAM",1952-03-02,Diputado,Frente Amplio,Suplente,2005,2006,KECHICHIAN,GARCIA,NORMA,LILIAM,0,46,2005-02-15,2010-02-14,1985-2025
