"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","fecha_nac","id_politico","agregado","id_fuente","fecha_desde","fecha_hasta","formas_de_escribir"
"VENTURA",NA,"RUPERTO","A.",NA,3483,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"AMBROSONI",NA,"PEDRO",NA,NA,3484,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OLIVERA","LUNA","ANTENOR",NA,NA,3485,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREIRA","MACHADO","NAPOLEON",NA,NA,3486,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ESPINOLA",NA,"FRANCISCO",NA,NA,3487,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MARTINEZ","LAGUARDA","JOAQUIN",NA,NA,3488,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"GONZALEZ",NA,"PEDRO","A.",NA,3489,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"JIMENEZ","DE ARECHAGA","EMILIO",NA,NA,3490,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"CATALOGNE",NA,"JOSE",NA,NA,3491,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"BOLAÑA",NA,"ALBERTO",NA,NA,3492,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MACEDO",NA,"VALENTIN","R.",NA,3493,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"FUQUES",NA,"JOSE",NA,NA,3494,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"BERDOU",NA,"HORACIO",NA,NA,3495,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"CIBILS",NA,"LUIS","I.",NA,3496,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"BRUNERAU","DES HOULLIERES","JULES",NA,NA,3497,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"GOYETCHE",NA,"LORENZO",NA,NA,3498,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PRIETO",NA,"AMILCAR",NA,NA,3500,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"SALORIO",NA,"JUAN","G.",NA,3501,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"BORRAS",NA,"VICTOR",NA,NA,3503,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"FORTUNARO",NA,"ANGEL",NA,NA,3504,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ROLAND",NA,"EMILIO",NA,NA,3505,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"DE CAMPO","CAMPO","ASTUR",NA,1887-06-22,3506,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"CALCINARDI",NA,"JUSTO",NA,NA,3507,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"SAENZ","SILVA","PEDRO",NA,NA,3508,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"DE LA SIERRA","LA SIERRA","GERONIMO",NA,NA,3509,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"GULDENZOPH",NA,"CIRILO",NA,1902-06-01,3510,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"SENCION",NA,"FULGENCIO","P.",NA,3511,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"LARROSA",NA,"MANUEL","J.",NA,3512,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"LUCIANI",NA,"EMILIO","T.",1898-09-19,3513,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"BRUNNET",NA,"PROSPERO","E.",NA,3514,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ESCAYOLA",NA,"JUAN",NA,1871-12-05,3515,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PIEDEFERRI",NA,"JULIO",NA,1887-03-18,3516,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"FRAGA",NA,"ROGELIO","A.",NA,3517,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"BISIO",NA,"AGUSTIN","R.",NA,3518,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"SOSA",NA,"ERNESTO","P.",NA,3519,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"REDIN",NA,"JULIAN",NA,NA,3520,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"DIAZ","YJAIME","ENRIQUE",NA,NA,3521,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"LAGAXIO",NA,"MANUEL","T.",1873-06-01,3522,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"SILVA",NA,"CASIMIRO",NA,NA,3523,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"CASTELLI",NA,"HUMBERTO","L.",1896-08-25,3524,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OGANDO",NA,"CONSTANTINO",NA,NA,3525,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"AGUIRRE",NA,"LUCIANO","L.",NA,3526,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MAY",NA,"AMBROSIO",NA,NA,3527,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"IRISA",NA,"JUAN","R.",NA,3528,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ALVAREZ",NA,"ELIAS","MANUEL",NA,3529,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ZOBOLI",NA,"ALBERTO",NA,1892-12-14,3530,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ANASTASIA",NA,"MAXIMO","R.",NA,3531,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ALVAREZ","SILVA","RAMON",NA,NA,3532,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"FORTUNATTO",NA,"ANGEL","F.",NA,3533,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MAUTONE",NA,"JOSE","D.",1896-06-01,3534,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NUÑEZ",NA,"FELIX",NA,NA,3535,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MAGLIA",NA,"JUAN","B.",NA,3536,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PINTOS","DIAGO","CESAR",NA,1891-11-17,3537,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"SAGASTIVERRY",NA,"ILDEFONSO",NA,NA,3539,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"CARDOZO",NA,"AMADEO",NA,NA,3540,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MESIAS",NA,"ORLANDO",NA,1894-07-11,3541,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"CATALOGNE",NA,"ELIAS","MANUEL",NA,3542,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"GOYOAGA",NA,"NILO",NA,NA,3543,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"BERRO","ANTUÑA","MARIANO",NA,NA,3544,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OLASCOAGA",NA,"ISIDRO","I.",NA,3545,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ODIZZIO",NA,"ALBERTO","A.",NA,3546,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RAGNI",NA,"RUTILIO",NA,1895-06-01,3547,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"BRUNEREAU",NA,"JULIO",NA,NA,3548,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"LUCA",NA,"ALCIDES","F.",NA,3549,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"BORRAT","VIERA","ARTURO",NA,1891-06-01,3550,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"TARANTO",NA,"VICTOR","FELIX",1897-07-28,3551,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ANASTASIA",NA,"HECTOR","C.",NA,3552,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"CHIOSSI",NA,"MARTINIANO",NA,1884-06-01,3553,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ACOSTA","Y LARA","HORACIO",NA,NA,3554,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"SIRI",NA,"INOCENCIO","D.",NA,3555,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"CARAMBULA",NA,"ANTONIO",NA,NA,3557,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"INVERNIZZI",NA,"PEDRO",NA,NA,3558,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ARNABOLDI",NA,"ROMEO",NA,NA,3559,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"CAMILO","E.",NA,3560,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"TOURN",NA,"JUSTO",NA,NA,3561,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"CARAMBULA",NA,"IVAN",NA,NA,3562,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"DE MEDINA","MEDINA","CARLOS",NA,NA,3563,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MAZZONI",NA,"FRANCISCO",NA,1883-08-29,3564,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"VEROCAY",NA,"JOSE",NA,NA,3565,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"AGUERRE",NA,"MIGUEL",NA,NA,3566,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MAGLIO",NA,"HUMBERTO",NA,NA,3567,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
