"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","fecha_inicio","fecha_fin","legislatura","cargo","status","circunscripcion","sexo","fuente","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","legislaturas_agrupadas"
"LOPEZ",NA,"SARA",NA,1904,"Frente Amplio",NA,NA,45,"Senador","Suplente",NA,0,NA,NA,2000-02-15,2005-02-14,2002-08-16,NA,NA,NA,"1985-2020"
"LOPEZ","TOLEDO","BAUTISTA",NA,1905,"Partido Colorado",NA,NA,36,"Senador","Suplente",NA,1,NA,NA,1951-02-15,1955-02-14,1953-02-14,NA,NA,NA,"1934-1973"
"LOPEZ","TOLEDO","BAUTISTA",NA,1905,"Partido Colorado",NA,NA,37,"Senador","Titular",NA,1,NA,NA,1955-02-15,1959-02-03,1957-02-08 12:00:00,NA,NA,NA,"1934-1973"
"LOPEZ","TOLEDO","BAUTISTA",NA,1905,"Partido Colorado",NA,NA,39,"Senador","Titular",NA,1,NA,NA,1963-02-15,1967-02-14,1965-02-14,NA,NA,NA,"1934-1973"
"LOPEZ",NA,"JULIO",NA,2729,"Frente Amplio",2010-03-01,NA,47,"Alcalde","Titular","Canelones Parque del Plata",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LOPEZ",NA,"RICARDO",NA,2650,"Partido Nacional",2010-03-01,NA,47,"Concejal","Titular","Tacuarembo San Gregorio de Polanco",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LOPEZ",NA,"MARIO",NA,2985,"Frente Amplio",2015-03-01,NA,48,"Alcalde","Titular","Canelones Ciudad de la Costa",1,NA,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LOPEZ",NA,"JULIO",NA,2729,"Frente Amplio",2015-03-01,NA,48,"Concejal","Titular","Canelones Parque del Plata",1,NA,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LOPEZ",NA,"MARCOS",NA,2985,"Partido Nacional",2015-03-01,NA,48,"Concejal","Titular","Cerro Largo Río Branco",1,NA,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LOPEZ",NA,"JAVIER","H.",3197,"Partido Nacional",2015-03-01,NA,48,"Concejal","Titular","Rio Negro Young",1,NA,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LOPEZ",NA,"RICARDO",NA,2650,"Partido Nacional",2015-03-01,NA,48,"Concejal","Titular","Tacuarembo San Gregorio de Polanco",1,NA,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LOPEZ",NA,"GUSTAVO",NA,3298,"Asamblea Popular",2019-10-27,2019-10-27,48,"Candidato Vicepresidente",NA,NA,1,NA,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LOPEZ",NA,"GUSTAVO",NA,3298,"Asamblea Popular",2014-10-26,2014-10-26,47,"Candidato Vicepresidente",NA,NA,1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LOPEZ","BARRERA","JAIME",NA,827,"Partido Colorado",1967-02-15,1972-02-14,40,"Intendente","Titular","Rocha",1,2,1924-06-01,1967-02-15,1972-02-14,1969-08-15 12:00:00,NA,42,42,"1934-1973"
"LOPEZ",NA,"GUILLERMO",NA,3781,"Partido Nacional",2019-07-27,2020-02-10,48,"Intendente","Suplente","Florida",1,NA,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LOPEZ",NA,"GUILLERMO",NA,3781,"Partido Nacional",NA,NA,49,"Intendente","Titular","Florida",1,NA,NA,2020-02-15,2025-02-14,2022-08-16,NA,NA,NA,"1985-2020"
"LORENTE",NA,"VICENTE","RAMON",1906,"Partido Nacional",NA,NA,45,"Diputado","Suplente","Rocha",1,NA,NA,2000-02-15,2005-02-14,2002-08-16,NA,NA,NA,"1985-2020"
"LORENZO",NA,"ALVARO",NA,831,"Partido Nacional",2002-06-03,2002-06-09,45,"Diputado","Suplente","Montevideo",1,NA,1966-06-08,2000-02-15,2005-02-14,2002-08-16,NA,35,35,"1985-2020"
"LORENZO",NA,"ALVARO",NA,831,"Partido Nacional",2005-02-15,NA,46,"Diputado","Titular","Montevideo",1,NA,1966-06-08,2005-02-15,2010-02-14,2007-08-16 12:00:00,NA,38,38,"1985-2020"
"LORENZO","ROVIRA","NELSON",NA,832,"Frente Amplio",1985-02-15,1990-02-14,42,"Diputado","Titular","Montevideo",1,NA,NA,1985-02-15,1990-02-14,1987-08-16 12:00:00,NA,NA,NA,"1985-2020"
"LORENZO","Y DEAL","JULIO",NA,833,"Partido Nacional",1926-02-15,1929-02-14,29,"Diputado","Titular","Canelones",1,NA,NA,1926-02-09,1929-01-28,1927-08-05,NA,NA,NA,"1902-1933"
"LORENZO","Y DEAL","JULIO",NA,833,"Partido Nacional",1929-02-15,1932-02-14,30,"Diputado","Titular","Canelones",1,NA,NA,1929-02-01,1932-01-29,1930-08-01,NA,NA,NA,"1902-1933"
"LORENZO","Y LOSADA","HUMBERTO",NA,834,"Partido Nacional",1917-02-15,1920-02-14,26,"Diputado","Titular","Canelones",1,NA,NA,1917-02-01,1920-02-14,1918-08-09,NA,NA,NA,"1902-1933"
"LORENZO","Y LOSADA","HUMBERTO",NA,834,"Partido Nacional",1920-02-15,1921-10-14,27,"Diputado","Titular","Canelones",1,NA,NA,1920-02-09,1923-02-14,1921-08-12 12:00:00,NA,NA,NA,"1902-1933"
"LORENZO",NA,"FERNANDO",NA,823,"Nuevo Espacio",NA,NA,44,"Diputado","Suplente","Montevideo",1,NA,1960-01-31,1995-02-15,2000-02-14,1997-08-15 12:00:00,37,NA,37,"1985-2020"
