primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,id_politico,fecha_inicio,fecha_nac,fuente
ARTURO,NA,ARTECONA,NA,4065,1932-02-23,,
ARTURO,NA,BORRAT,VIERA,3759,1938-06-19,1891,1
ARTURO,NA,GRAU,ROSELL,3835,1955-02-15,1907-05-12,
ARTURO,NA,LAMANCHA,NA,1857,NA,1942-04-21,
ARTURO,NA,LARRIERA,NA,766,1931-07-08,,
ARTURO,NA,LERENA,ACEVEDO,787,1929-05-30,1897-10-29,
ARTURO,NA,LUSSICH,NA,810,1943-02-15,1872-05-22,
ARTURO,NA,QUESADA,NA,1123,1934-05-18,,
ARTURO,NA,WILSON,NA,2271,NA,,
ASDRUBAL,NA,ALZATI,NA,3943,1967-02-15,1927-07-17,
ASTUR,NA,DE CAMPO,CAMPO,3710,1932-02-23,1887-06-22,
ATILIO,CARLOS,CUTINELLA,NA,1673,NA,,
ATILIO,NA,FERRANDIS,NA,525,1972-02-15,1920-01-08,
ATILIO,NA,NARANCIO,NA,944,1920-02-15,1883-06-03,
AUGUSTO,NA,MONTESDEOCA,NA,3969,1985-02-15,1938-09-26,
AURELIO,NA,GERONAZZO,NA,3619,1958-11-30,,
AZUCENA,NA,ARBELECHE,NA,2610,2020-03-01,1970-09-29,
AZUCENA,NA,BERRUTI,NA,2584,2005-03-01,1929-01-07,
BALTASAR,J.,AGUILAR,NA,1441,NA,1951-01-26,
BAUTISTA,NA,DUHAGON,NA,464,1963-02-15,1905-06-24,
BAUTISTA,NA,IRIBARNE,NA,729,1955-02-15,1921-08-31,
BEATRIZ,NA,ARGIMON,NA,91,2020-03-01,1961-08-14,
BEATRIZ,NA,BANCHERO,NA,3481,2014-06-01,1951-08-12,
BENITO,J.,MONTALDO,NA,916,1920-02-15,,
BENITO,M.,CUARRO,NA,381,1905-02-16,,
BENITO,NA,MEDERO,NA,872,1972-03-01,,
BENITO,NA,NARDONE,NA,3454,1961-03-01,1906-11-22,
BENITO,NA,STERN,NA,2567,1995-03-01,1937-04-23,
BERNARDINO,T.,ORIQUE,NA,984,1902-02-15,,
BERNARDO,DOMINGO,LARRAYOZ,NA,3673,1926-02-13,,
BERNARDO,NA,DE LA HANTY,LA HANTY,1685,NA,1882,
BERTA,NA,SANSEVERINO,NA,2314,2015-02-15,1946-04-25,
BERTIL,NA,BENTOS,SCAGNEGATTI,4084,2005-02-15,1942-08-15,
BERTIL,NA,BENTOS,NA,4084,2010-02-15,1942-08-15,
BETTINA,NA,COCCHI,NA,1644,NA,1961-09-25,
BIBIAN,NA,RETAMOZA,NA,3114,2015-03-01,,
BLAS,NERY,TAROCO,NA,3906,1963-02-15,1912-12-05,
BOLVAR,NA,SOZO,NA,1306,1934-05-18,,
BONIFACIO,NA,ALCAIN,NA,1444,NA,1917-06-08,
BRADAMANTE,NA,TOYOS,NA,2212,NA,,
BRUM,NA,CANET,NA,276,2000-02-15,1934-09-20,
CAMILO,NA,TORTORELLA,NA,3991,1995-02-15,1933-07-25,
CANDIDO,HECTOR,CUSTODIO,NA,1672,NA,1916-02-02,
CARBALLIDO,NA,ETCHEBARNE,NA,3865,1959-02-15,,
CARLOS,A.,FROCE,NA,2744,2010-03-01,1941-05-12,
CARLOS,E.,CAMELO,NA,4111,2015-03-01,1985-05-21,
CARLOS,E.,PORTA,SANTIAGO,1101,1963-02-15,,
CARLOS,J.,IZAGUIRRE,NA,2853,2010-03-01,1949-07-14,
CARLOS,L.,FISCHER,NA,1758,1952-03-01,1903,1
CARLOS,M.,AVILA,NA,3421,2015-03-01,,
CARLOS,M.,OJEDA,NA,3925,1963-02-15,1943-08-01,
