"","primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","partido","legislatura"
"132","AGUIRRE",NA,"MARTIN",NA,"Partido Nacional",21
"133","AGUIRRE",NA,"MARTIN",NA,"Partido Nacional",23
"134","AGUIRRE",NA,"NUMA",NA,"Partido Nacional",42
"135","AGUIRRE","RAMIREZ","GONZALO",NA,"Partido Nacional",42
"136","AGUIRRE","RAMIREZ","GONZALO",NA,"Partido Nacional",43
"137","AGUIRRE",NA,"RAMON",NA,"Partido Colorado",39
"138","AGUIRRE",NA,"RAMON",NA,"Partido Colorado",40
"139","AGUIRRE",NA,"ROLANDO",NA,"Partido Colorado",42
"140","AGUIRRE","Y GONZALEZ","JUAN",NA,"Partido Colorado",25
"141","AGUIRRE","Y GONZALEZ","JUAN",NA,"Partido Colorado",26
"142","AGUIRRE",NA,"FABIO",NA,"Partido Nacional",47
"143","AGUIRRE",NA,"ARTURO",NA,"Partido Nacional",48
"144","AGUIRRE",NA,"GONZALO",NA,"Partido Nacional",43
"145","AGUIRRE","GONZALEZ","ADOLFO",NA,"Frente Izquierda de Liberacion",39
"146","AGUIRRE",NA,"LUCIANO","L.","Partido Colorado",29
"147","AGUIRRE",NA,"LUCIANO","L.","Partido Colorado",31
"148","AGUIRRE",NA,"RAMON",NA,"Partido Colorado",38
"149","AGUIRREZABALA",NA,"MARTIN",NA,"Partido Colorado",45
"150","AGUSTONI",NA,"RAUL",NA,"Partido Nacional",48
"151","AICARDI",NA,"JULIO",NA,"Partido de las Clases Pasivas",37
"152","AIRALDI",NA,"SERAFIN",NA,"Partido Colorado",27
"153","AITA",NA,"UBALDO",NA,"Frente Amplio",49
"154","AITA",NA,"UBALDO",NA,"Partido Frente Amplio",47
"155","ALAGGIA",NA,"JOSE","PEDRO","Partido Colorado",28
"156","ALAGGIA",NA,"JOSE","PEDRO","Partido Colorado",29
"157","ALAGGIA",NA,"JOSE","PEDRO","Partido Colorado",32
"158","ALAMBARRI",NA,"ALFREDO",NA,"Partido Colorado",36
"159","ALBANO",NA,"ITALO",NA,"Partido Nacional",48
"160","ALBERNAZ",NA,"RODRIGO",NA,"Cabildo Abierto",49
"161","ALBERRO",NA,"LUIS","A.","Partido Nacional",48
"162","ALBERTINI",NA,"LAURA",NA,"Partido Colorado",44
"163","ALBERTO","ZIMINOV","LUIS",NA,"Partido Colorado",48
"164","ALBERTORI",NA,"NELSON",NA,"Frente Amplio",44
"165","ALBIN",NA,"CARLOS",NA,"Partido Colorado",21
"166","ALBIN",NA,"CARLOS",NA,"Partido Colorado",22
"167","ALBIN",NA,"CARLOS",NA,"Partido Colorado",23
"168","ALBIN",NA,"CARLOS",NA,"Partido Colorado",24
"169","ALBIN",NA,"CARLOS",NA,"Partido Colorado",25
"170","ALBIN",NA,"CARLOS",NA,"Partido Colorado",26
"171","ALBO",NA,"MANUEL",NA,"Partido Nacional",28
"172","ALBO",NA,"MANUEL",NA,"Partido Nacional",29
"173","ALBO",NA,"MANUEL",NA,"Partido Nacional",30
"174","ALBUQUERQUE",NA,"PEDRO","F.","Partido Colorado",25
"175","ALBUQUERQUE",NA,"PEDRO","F.","Partido Colorado",26
"176","ALBUQUERQUE",NA,"PEDRO","F.","Partido Colorado",32
"177","ALCAIN",NA,"BONIFACIO",NA,"Partido Nacional",39
"178","ALCAIN",NA,"BONIFACIO",NA,"Partido Nacional",40
"179","ALCAIN",NA,"BONIFACIO",NA,"Partido Nacional",41
"180","ALCAIN",NA,"BONIFACIO",NA,"Partido Nacional",42
"181","ALCARDI",NA,"ALFREDO",NA,"Partido Frente Amplio",47
"182","ALDAMA",NA,"ALCIDES",NA,"Partido Nacional",30
"183","ALDAMA",NA,"ALCIDES",NA,"Partido Nacional",31
"184","ALDAMA",NA,"ALCIDES",NA,"Partido Nacional",32
"185","ALDAMA",NA,"ALCIDES",NA,"Partido Nacional",33
"186","ALDAMA",NA,"ALCIDES",NA,"Partido Nacional",29
"187","ALDAO",NA,"EDINSON",NA,"Partido Frente Amplio",48
"188","ALDAYA",NA,"MARIANO",NA,"Partido Colorado",26
"189","ALDAYA",NA,"MARIANO",NA,"Partido Colorado",32
"190","ALDAYA",NA,"MARIANO",NA,"Partido Colorado",33
"191","ALEGRE",NA,"MIGUEL",NA,"Partido Nacional",48
"192","ALEJANDRO",NA,"JUAN","JOSE","Partido Colorado",42
"193","ALFARO",NA,"MARIO",NA,"Partido Frente Amplio",48
"194","ALFIE",NA,"ISAAC",NA,"Partido Colorado",46
"195","ALFIE",NA,"ISAAC",NA,"Partido Colorado",45
"196","ALFONSO",NA,"PEDRO",NA,"Partido Democrata Cristiano",40
"197","ALFONSO",NA,"ALVARO",NA,"Partido Nacional",47
"198","ALFONSO",NA,"ALVARO",NA,"Partido Nacional",48
"199","ALGORTA",NA,"JUAN","VICENTE","Partido Nacional",29
"200","ALGORTA",NA,"JUAN","VICENTE","Partido Nacional",30
"201","ALGORTA",NA,"JUAN","VICENTE","Partido Nacional",31
"202","ALIMUNDI",NA,"JUAN",NA,"Partido Nacional",21
"203","ALMACIO","RODRIGUEZ","WALTER",NA,"Partido Colorado",42
"204","ALMADA",NA,"AMADEO",NA,"Partido Colorado",25
