primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,id_politico,fecha_inicio,fecha_nac,fuente
ALFREDO,NA,BENTANCOURT,NA,204,1997-05-06,,
ALFREDO,NA,COSTA,GUITERREZ,380,NA,1867-07-03,
ALFREDO,NA,DE CASTRO,CASTRO,3594,1955-02-15,,
ALFREDO,NA,ETCHEGARAY,NA,2757,2010-03-01,1956-07-07,
ALFREDO,NA,FRATTI,NA,130,2005-02-15,1956-10-23,
ALFREDO,NA,GARCIA,MORALES,3914,NA,1881-03-07,
ALFREDO,NA,GARCIA,MORALES,3915,NA,1881-03-07,
ALFREDO,NA,GARCIA,TECHERA,3916,2015-03-01,1965-07-25,
ALFREDO,NA,GIRIBALDI,NA,2441,1909-01-07,,
ALFREDO,NA,LARA,NA,789,1992-12-08,1954-10-24,
ALFREDO,NA,MIGUES,NA,1946,NA,,
ALFREDO,NA,NAVARRO,NA,973,1934-05-18,1868-05-04,
ALFREDO,NA,OLIU,NA,466,2014-06-01,1958-02-02,
ALFREDO,NA,OLIVERA,CALAMET,3460,1926-02-13,,
ALFREDO,NA,PIFFARETTI,NA,2029,NA,1954-01-05,
ALFREDO,NA,PUIG,SPANGEMBERG,1144,1943-02-15,1897-03-16,
ALFREDO,NA,PUIG,SPANGENBERG,1144,1959-02-15,1897-03-16,
ALFREDO,NA,PUIG,SPANGERNBERG,1144,1964-07-28,1897-03-16,
ALFREDO,NA,RODRIGUEZ,NA,2089,NA,,
ALFREDO,NA,SILVA,NA,3040,2015-03-01,,
ALFREDO,NA,SILVEIRA,LIMA,1312,1972-09-19,,
ALFREDO,NA,SILVERA,LIMA,1312,1986-04-02,,
ALFREDO,NA,TERRA,NA,1888,1958-11-30,,
ALFREDO,NA,VAZQUEZ,ACEVEDO,1404,1917-02-07,1844-07-08,
ALFREDO,NA,VIDAL,Y FUENTES,4119,NA,1863-07-30,
ALFREDO,NA,VIDAL,NA,4119,1911-02-15,1863-07-30,
ALICIA,NA,PEREZ,NA,2981,2015-03-01,,
ALLISON,NA,ROSAS,NA,3042,2015-03-01,1977-09-11,
ALMA,GITANA,PARRALLADA,NA,2002,NA,,
ALMA,NA,MALLO,NA,2386,2010-02-15,1940-08-09,
ALTIVO,NA,ESTEVES,NA,505,1989-10-10,1927-09-25,
ALTIVO,NA,ESTEVEZ,FREIRE,3742,1985-02-15,1927-09-25,
ALVARO,R.,VAZQUEZ,NA,1405,1932-02-15,,
ALVARO,NA,ALFONSO,NA,2543,2015-03-01,1959-07-25,
ALVARO,NA,ALONSO,TELECHEA,3803,NA,1955-03-11,
ALVARO,NA,ALONSO,NA,3803,2000-03-01,1955-03-11,
ALVARO,NA,AROCHA,NA,109,1972-02-15,,
ALVARO,NA,CARBONE,NA,1620,1991-08-27,1950-07-12,
ALVARO,NA,DELGADO,NA,445,2020-02-15,1969-03-11,
ALVARO,NA,GARCIA,NA,109,2008-09-18,1961-09-19,
ALVARO,NA,GOMEZ,NA,2018,2015-03-01,,
ALVARO,NA,LAMAS,FRASCHINI,3946,2001-02-15,1945-12-04,
ALVARO,NA,LAMAS,NA,3946,1995-02-15,1945-12-04,
ALVARO,NA,LIMA,NA,2334,2020-02-15,1974-10-02,
ALVARO,NA,LOPEZ,ALLEGUE,824,1960-07-13,,
ALVARO,NA,LORENZO,NA,831,2005-02-15,1966-06-08,
ALVARO,NA,PEREZ,NA,2018,NA,,
ALVARO,NA,RAMOS,NA,1166,1999-04-25,1950-03-11,
ALVARO,NA,VARGAS,GUILLEMETTE,3280,1952-03-01,1899,1
ALVARO,NA,VEGA,LLANES,4118,2010-02-15,1957-11-04,
ALVARO,NA,VEGA,NA,4118,2005-02-15,1957-11-04,
AMABEL,NA,CABRERA,NA,1599,NA,1956-06-21,
AMADEO,NA,AROSTEGUY,NA,3421,1958-11-30,1907,1
AMADEO,NA,CARDOZO,NA,3537,1932-02-23,,
AMADEO,NA,RODRIGUEZ,NA,3595,1955-02-15,,
AMADO,NA,IPAR,NA,3577,1955-02-15,,
AMADOR,NA,SANCHEZ,NA,1252,1947-02-15,,
AMARANTO,B.,TORRES,NA,1364,1932-02-23,,
AMARANTO,NA,TORRES,NA,1364,1940-12-18,,
AMARO,NA,RAMOS,NA,1166,1932-02-09,,
AMBROSIO,L.,RAMASSO,NA,1160,1920-03-25,1873-07-15,
AMBROSIO,WALTER,BARREIRO,NA,3823,1905-06-03,,
AMBROSIO,NA,BARREIRO,NA,3824,2001-02-15,1935-05-17,
AMBROSIO,NA,MAY,NA,3524,1932-02-23,,
