,nombre,fecha_nac,cargo,partido,status,inicio,fin,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,legislatura,fecha_inicio_l,fecha_fin_l,legislaturas_agrupadas
38,"DE LOS SANTOS SERVERGNINI, DARCY AMAURY",1964-09-23,Diputado,Frente Amplio,Suplente,2015,2015,DE LOS SANTOS,SERVERGNINI,DARCY,AMAURY,1,48,2015-02-15,2020-02-14,1985-2020
39,"DELGADO CERETTA, ALVARO",1969-03-11,Diputado,Partido Nacional,Titular,2020,2020,DELGADO,CERETTA,ALVARO,,1,48,2015-02-15,2020-02-14,1985-2020
39,"DELGADO CERETTA, ALVARO",1969-03-11,Senador,Partido Nacional,Titular,2020,2020,DELGADO,CERETTA,ALVARO,,1,48,2015-02-15,2020-02-14,1985-2020
39,"DELGADO CERETTA, ALVARO",1969-03-11,Senador,Partido Nacional,Titular,2015,2020,DELGADO,CERETTA,ALVARO,,1,48,2015-02-15,2020-02-14,1985-2020
40,"DEMARCO BEROIS, MARIELLA",1955-07-26,Diputado,Partido Independiente,Suplente,2016,2018,DEMARCO,BEROIS,MARIELLA,,0,48,2015-02-15,2020-02-14,1985-2020
41,"DIAZ ANGUILLA, PABLO ANDRES",1980-03-13,Diputado,Partido Nacional,Suplente,2015,2019,DIAZ,ANGUILLA,PABLO,ANDRES,1,48,2015-02-15,2020-02-14,1985-2020
42,"DIAZ REY, LUCIA BETTIANA",1988-02-09,Diputado,Frente Amplio,Titular,2017,2020,DIAZ,REY,LUCIA,BETTIANA,0,48,2015-02-15,2020-02-14,1985-2020
42,"DIAZ REY, LUCIA BETTIANA",1988-02-09,Diputado,Frente Amplio,Suplente,2015,2017,DIAZ,REY,LUCIA,BETTIANA,0,48,2015-02-15,2020-02-14,1985-2020
43,"DINI SIQUEIRA, DANTE DINO",1955-11-25,Diputado,Partido Colorado,Suplente,2015,2019,DINI,SIQUEIRA,DANTE,DINO,1,48,2015-02-15,2020-02-14,1985-2020
44,"DUCHE FERREIRA, GABRIEL APOLONIO",1952-09-06,Diputado,Frente Amplio,Suplente,2015,2018,DUCHE,FERREIRA,GABRIEL,APOLONIO,1,48,2015-02-15,2020-02-14,1985-2020
45,"DUTRA MORALES, MATHIAS",1986-12-01,Diputado,Frente Amplio,Suplente,2015,2018,DUTRA,MORALES,MATHIAS,,1,48,2015-02-15,2020-02-14,1985-2020
46,"EGUILUZ LAXAGUE, MARIA CECILIA",1974-08-29,Diputado,Partido Colorado,Titular,2015,2020,EGUILUZ,LAXAGUE,MARIA,CECILIA,0,48,2015-02-15,2020-02-14,1985-2020
46,"EGUILUZ LAXAGUE, MARIA CECILIA",1974-08-29,Senador,Partido Colorado,Suplente,2015,2019,EGUILUZ,LAXAGUE,MARIA,CECILIA,0,48,2015-02-15,2020-02-14,1985-2020
