"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","inicio","fin","legislatura","cargo","status","circunscripcion","sexo","fecha_nac","fecha_inicio_l","fecha_fin_l","legislaturas_agrupadas","agregado","fecha_intermedia","ed_asumir","ed_asumir_1","edad_asumir"
"BAYARDI","LOZANO","JOSE","ARTURO",1529,"Frente Amplio",2010,2013,47,"Diputado","Titular","Montevideo",1,1955-06-30,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,54,NA,54
"BENTOS","SCAGNEGATTI","BERTIL","RANDOLF",3835,"Partido Nacional",2010,2010,47,"Diputado","Titular","Paysandú",1,1942-08-15,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,67,NA,67
"BERNINI","SEGUESSA","GUSTAVO","DANIEL",2304,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1958-09-29,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,51,NA,51
"BEROIS","QUINTEROS","RICARDO","CARLOS",3836,"Partido Nacional",2010,2015,47,"Diputado","Titular","Flores",1,1957-09-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,52,NA,52
"BIANCHI","SALOMON","DANIEL","MARIO",219,"Partido Colorado",2015,2015,47,"Diputado","Titular","Colonia",1,1962-09-04,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,47,NA,47
"BIANCHI","SALOMON","DANIEL","MARIO",219,"Partido Colorado",2010,2015,47,"Diputado","Titular","Colonia",1,1962-09-04,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,47,NA,47
"BORSARI","BRENNA","GUSTAVO","JUAN",3843,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",1,1954-11-28,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,55,NA,55
"CACERES","TONCHEFF","GRACIELA",NA,2302,"Frente Amplio",2010,2015,47,"Diputado","Titular","Río Negro",0,1962-01-03,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,48,NA,48
"CAGGIANI","GOMEZ","DANIEL",NA,2315,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1983-07-20,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,26,NA,26
"CARAM","MARTINEZ","RODOLFO","ANDRES",2405,"Partido Nacional",2010,2015,47,"Diputado","Titular","Artigas",1,1964-10-02,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,45,NA,45
"CARBALLO","DA","FELIPE",NA,1618,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1972-08-24,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,37,NA,37
"CARDOSO","FERREIRA","GERMAN",NA,1622,"Partido Colorado",2010,2015,47,"Diputado","Titular","Maldonado",1,1973-10-01,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,36,NA,36
"CARDOSO","SILVA","JOSE","CARLOS",3859,"Partido Nacional",2015,2015,47,"Diputado","Titular","Rocha",1,1958-04-24,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,51,NA,51
"CARDOSO","SILVA","JOSE","CARLOS",3859,"Partido Nacional",2010,2015,47,"Diputado","Titular","Rocha",1,1958-04-24,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,51,NA,51
"CASAS","MENDITEGUY","ALBERTO","ENRIQUE",1633,"Partido Nacional",2010,2015,47,"Diputado","Titular","San José",1,1959-02-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,51,NA,51
"CERSOSIMO","MICHELINI","GUSTAVO",NA,2383,"Partido Colorado",2010,2015,47,"Diputado","Titular","San José",1,1953-04-02,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,56,NA,56
"FERNANDEZ","DA","JULIO","CESAR",4634,"Frente Amplio",2010,2013,47,"Diputado","Titular",NA,1,1929-07-07,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,80,NA,80
"GONI","ROMERO","JOSE","RODRIGO",4618,"Partido Nacional",2010,2015,47,"Diputado","Titular",NA,1,1962-08-10,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,47,NA,47
"MANANA","DOGLIOTTI","DANIEL","EDUARDO",4559,"Partido Nacional",2010,2015,47,"Diputado","Titular",NA,1,1955-01-10,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,55,NA,55
"MARTINEZ",NA,"JODAMI",NA,4608,"Frente Amplio",2010,2015,47,"Diputado","Titular",NA,1,1975-10-03,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,34,NA,34
"OLIVERA","RANGEL","HECTOR","RAUL",4600,"Frente Amplio",2010,2015,47,"Diputado","Titular",NA,1,1964-11-29,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,45,NA,45
"PARDINAS","SALOMON","ANGEL","YERU",4537,"Frente Amplio",2010,2014,47,"Diputado","Titular",NA,1,1955-10-09,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,54,NA,54
"PEDREIRA","ALJAS-AISSI","ROBERTO","GUZMAN",4707,"Frente Amplio",2010,2015,47,"Diputado","Titular",NA,1,1970-07-10,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,39,NA,39
"PENA","FERNANDEZ","DANIEL","ADRIAN",4561,"Partido Nacional",2010,2015,47,"Diputado","Titular",NA,1,1972-12-21,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,37,NA,37
"PEREZ","BILINSKI","ESTEBAN","ANDRES",4579,"Frente Amplio",2010,2013,47,"Diputado","Titular",NA,1,1950-08-13,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,59,NA,59
"PEREZ","GONZALEZ","PABLO","NEKLINDOR",4693,"Frente Amplio",2010,2015,47,"Diputado","Titular",NA,1,1948-02-09,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,62,NA,62
"SOUZA","DE","JUAN","CARLOS",4630,"Frente Amplio",2010,2015,47,"Diputado","Titular",NA,1,1955-01-28,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,55,NA,55
"AYALA","SANCHEZ","ANA","PATRICIA",4533,"Frente Amplio",2010,2010,47,"Diputado","Titular",NA,0,1966-08-25,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,43,NA,43
"CANTERO","PIALI","EDGAR","FITZGERALD",4569,"Partido Colorado",2010,2015,47,"Diputado","Titular",NA,1,1978-01-31,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,32,NA,32
"ABREU","BONILLA","SERGIO",NA,6,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,1945-11-12,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,64,NA,64
"AGAZZI","SARASOLA","ERNESTO",NA,14,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,1942-09-04,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,67,NA,67
"CHIRUCHI","FUENTES","JUAN","ANTONIO",3875,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,1947-10-21,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,62,NA,62
"COURIEL","CURIEL","ALBERTO",NA,385,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,1935-08-22,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,74,NA,74
"COUTINHO","RODRIGUEZ","GERMAN","MANUEL",2381,"Partido Colorado",2010,2010,47,"Senador","Titular",NA,1,1970-04-01,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,39,NA,39
"DA ROSA VAZQUEZ","VAZQUEZ","EBER",NA,398,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,1956-07-02,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,53,NA,53
"DALMAS GARCEN",NA,"SUSANA","ELIDA",1698,"Frente Amplio",2010,2012,47,"Senador","Titular",NA,0,1948-07-16,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,61,NA,61
"ENCISO","CHRISTIANSEN","CARLOS","FERNANDO",3888,"Partido Nacional",2015,2015,47,"Senador","Titular",NA,1,1967-08-23,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,42,NA,42
"FERNANDEZ","HUIDOBRO","ELEUTERIO",NA,531,"Frente Amplio",2010,2011,47,"Senador","Titular",NA,1,1942-03-14,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,67,NA,67
"GALLINAL","NIETO","FRANCISCO","GUSTAVO APARICIO",3910,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,1957-05-10,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,52,NA,52
"GARGANO","OSTUNI","REINALDO","APOLO",1805,"Frente Amplio",2010,2011,47,"Senador","Titular",NA,1,1934-07-26,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,75,NA,75
"HEBER","FONTANA","LUIS","ALBERTO",720,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,1957-12-22,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,52,NA,52
"AMORIN","BATLLE","JOSE","GERARDO",3811,"Partido Colorado",2010,2015,47,"Senador","Titular",NA,1,1954-11-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,55,NA,55
"LACALLE","DE","LUIS","ALBERTO RAMON",769,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,1941-07-13,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,68,NA,68
"LARRANAGA","FRAGA","JORGE","WASHINGTON",791,"Partido Nacional",2010,2014,47,"Senador","Titular",NA,1,1956-08-08,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,53,NA,53
"LORIER","SANDRO","EDUARDO",NA,1907,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,1952-09-10,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,57,NA,57
