"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","inicio","fin","legislatura","cargo","status","circunscripcion","sexo","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","agregado","legislaturas_agrupadas"
"PUIG","CARDOZO","LUIS","WILFREDO",2320,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1955-11-06","2010-02-15","2015-02-14","2012-08-15",NA,54,54,0,"1985-2020"
"RADIO","PRESTA","DANIEL","ALEXIS",2398,"Partido Independiente",2010,2015,47,"Diputado","Titular","Canelones",1,"1959-02-20","2010-02-15","2015-02-14","2012-08-15",NA,50,50,0,"1985-2020"
"RODRIGUEZ","ALVEZ","EDGARDO",NA,4063,"Frente Amplio",2010,2015,47,"Diputado","Titular","Tacuarembó",1,"1961-12-25","2010-02-15","2015-02-14","2012-08-15",NA,48,48,0,"1985-2020"
"RODRIGUEZ","SERVETTO","NELSON","VLADIMIR",4071,"Partido Nacional",2010,2015,47,"Diputado","Titular","Maldonado",1,"1959-07-19","2010-02-15","2015-02-14","2012-08-15",NA,50,50,0,"1985-2020"
"ROSADILLA","PEREIRA","LUIS","ANGEL",1213,"Frente Amplio",2010,2011,47,"Diputado","Titular","Montevideo",1,"1953-12-21","2010-02-15","2015-02-14","2012-08-15",NA,56,56,0,"1985-2020"
"SABINI","GIANNECCHINI","SEBASTIAN",NA,2340,"Frente Amplio",2010,2015,47,"Diputado","Titular","Canelones",1,"1981-06-11","2010-02-15","2015-02-14","2012-08-15",NA,28,28,0,"1985-2020"
"SANCHEZ","CAL","DARDO","ANGEL",4084,"Partido Nacional",2010,2010,47,"Diputado","Titular","Treinta y Tres",1,"1957-04-04","2010-02-15","2015-02-14","2012-08-15",NA,52,52,0,"1985-2020"
"SARAVIA","FRATTI","PEDRO","JESUS",2141,"Partido Nacional",2010,2015,47,"Diputado","Titular","Cerro Largo",1,"1952-06-29","2010-02-15","2015-02-14","2012-08-15",NA,57,57,0,"1985-2020"
"SEMPRONI","ROBAINA","VICTOR","FELIX",2161,"Frente Amplio",2010,2015,47,"Diputado","Titular","Canelones",1,"1937-03-27","2010-02-15","2015-02-14","2012-08-15",NA,72,72,0,"1985-2020"
"TAJAM","CABRERA","HECTOR","VICENTE",1345,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1947-09-22","2010-02-15","2015-02-14","2012-08-15",NA,62,62,0,"1985-2020"
"TIERNO","FERNANDEZ","NELSON","MARTIN",2326,"Frente Amplio",2010,2015,47,"Diputado","Titular",NA,1,"1968-07-06","2010-02-15","2015-02-14","2012-08-15",NA,41,41,0,"1985-2020"
"TOLEDO","ANTUNEZ","HERMES","ROMEO",4109,"Frente Amplio",2010,2013,47,"Diputado","Titular","Treinta y Tres",1,"1949-12-07","2010-02-15","2015-02-14","2012-08-15",NA,60,60,0,"1985-2020"
"TOURNE","VALDEZ","DAISY","LILIAN",2214,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1951-03-17","2010-02-15","2015-02-14","2012-08-15",NA,58,58,0,"1985-2020"
"TROBO","CABRERA","JAIME","MARIO",4110,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",1,"1956-10-05","2010-02-15","2015-02-14","2012-08-15",NA,53,53,0,"1985-2020"
"VARELA","NESTIER","CARLOS","RICARDO",4251,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1954-05-01","2010-02-15","2015-02-14","2012-08-15",NA,55,55,0,"1985-2020"
"VEGA","LLANES","ALVARO",NA,4121,"Frente Amplio",2010,2013,47,"Diputado","Titular","Florida",1,"1957-11-04","2010-02-15","2015-02-14","2012-08-15",NA,52,52,0,"1985-2020"
"VERRI","PIRIZ","WALTER",NA,2382,"Partido Colorado",2010,2015,47,"Diputado","Titular","Paysandú",1,"1962-08-01","2010-02-15","2015-02-14","2012-08-15",NA,47,47,0,"1985-2020"
"VIDALIN","AGUIRRE","CARMELO","JOSE",4123,"Partido Nacional",2015,2015,47,"Diputado","Titular","Durazno",1,"1955-11-17","2010-02-15","2015-02-14","2012-08-15",NA,54,54,0,"1985-2020"
"VIDALIN","AGUIRRE","CARMELO","JOSE",4123,"Partido Nacional",2010,2015,47,"Diputado","Titular","Durazno",1,"1955-11-17","2010-02-15","2015-02-14","2012-08-15",NA,54,54,0,"1985-2020"
"BANGO","ALVAREZ","JULIO","CESAR",2311,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1962-09-10","2010-02-15","2015-02-14","2012-08-15",NA,47,47,0,"1985-2020"
"VIVIAN","BELTRAQUIN","DIONISIO",NA,2299,"Frente Amplio",2010,2015,47,"Diputado","Titular","Canelones",1,"1951-10-29","2010-02-15","2015-02-14","2012-08-15",NA,58,58,0,"1985-2020"
"YANES","MEDEROS","HORACIO","PIERRE",2272,"Frente Amplio",2010,2014,47,"Diputado","Titular","Canelones",1,"1960-12-09","2010-02-15","2015-02-14","2012-08-15",NA,49,49,0,"1985-2020"
"BATTISTONI","SPINELLI","JULIO","JOSE",2327,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1945-01-02","2010-02-15","2015-02-14","2012-08-15",NA,65,65,0,"1985-2020"
"BAYARDI","LOZANO","JOSE","ARTURO",1529,"Frente Amplio",2010,2013,47,"Diputado","Titular","Montevideo",1,"1955-06-30","2010-02-15","2015-02-14","2012-08-15",NA,54,54,0,"1985-2020"
"BENTOS","SCAGNEGATTI","BERTIL","RANDOLF",3835,"Partido Nacional",2010,2010,47,"Diputado","Titular","Paysandú",1,"1942-08-15","2010-02-15","2015-02-14","2012-08-15",NA,67,67,0,"1985-2020"
"BERNINI","SEGUESSA","GUSTAVO","DANIEL",2304,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1958-09-29","2010-02-15","2015-02-14","2012-08-15",NA,51,51,0,"1985-2020"
"BEROIS","QUINTEROS","RICARDO","CARLOS",3836,"Partido Nacional",2010,2015,47,"Diputado","Titular","Flores",1,"1957-09-09","2010-02-15","2015-02-14","2012-08-15",NA,52,52,0,"1985-2020"
"BIANCHI","SALOMON","DANIEL","MARIO",219,"Partido Colorado",2015,2015,47,"Diputado","Titular","Colonia",1,"1962-09-04","2010-02-15","2015-02-14","2012-08-15",NA,47,47,0,"1985-2020"
"BIANCHI","SALOMON","DANIEL","MARIO",219,"Partido Colorado",2010,2015,47,"Diputado","Titular","Colonia",1,"1962-09-04","2010-02-15","2015-02-14","2012-08-15",NA,47,47,0,"1985-2020"
"BORSARI","BRENNA","GUSTAVO","JUAN",3843,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",1,"1954-11-28","2010-02-15","2015-02-14","2012-08-15",NA,55,55,0,"1985-2020"
"CACERES","TONCHEFF","GRACIELA",NA,2302,"Frente Amplio",2010,2015,47,"Diputado","Titular","Río Negro",0,"1962-01-03","2010-02-15","2015-02-14","2012-08-15",NA,48,48,0,"1985-2020"
"CAGGIANI","GOMEZ","DANIEL",NA,2315,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1983-07-20","2010-02-15","2015-02-14","2012-08-15",NA,26,26,0,"1985-2020"
"CARAM","MARTINEZ","RODOLFO","ANDRES",2405,"Partido Nacional",2010,2015,47,"Diputado","Titular","Artigas",1,"1964-10-02","2010-02-15","2015-02-14","2012-08-15",NA,45,45,0,"1985-2020"
"CARBALLO","DA","FELIPE",NA,1618,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1972-08-24","2010-02-15","2015-02-14","2012-08-15",NA,37,37,0,"1985-2020"
"CARDOSO","FERREIRA","GERMAN",NA,1622,"Partido Colorado",2010,2015,47,"Diputado","Titular","Maldonado",1,"1973-10-01","2010-02-15","2015-02-14","2012-08-15",NA,36,36,0,"1985-2020"
"CARDOSO","SILVA","JOSE","CARLOS",3859,"Partido Nacional",2015,2015,47,"Diputado","Titular","Rocha",1,"1958-04-24","2010-02-15","2015-02-14","2012-08-15",NA,51,51,0,"1985-2020"
"CARDOSO","SILVA","JOSE","CARLOS",3859,"Partido Nacional",2010,2015,47,"Diputado","Titular","Rocha",1,"1958-04-24","2010-02-15","2015-02-14","2012-08-15",NA,51,51,0,"1985-2020"
"CASAS","MENDITEGUY","ALBERTO","ENRIQUE",1633,"Partido Nacional",2010,2015,47,"Diputado","Titular","San José",1,"1959-02-09","2010-02-15","2015-02-14","2012-08-15",NA,51,51,0,"1985-2020"
"CERSOSIMO","MICHELINI","GUSTAVO",NA,2383,"Partido Colorado",2010,2015,47,"Diputado","Titular","San José",1,"1953-04-02","2010-02-15","2015-02-14","2012-08-15",NA,56,56,0,"1985-2020"
"FERNANDEZ","DA","JULIO","CESAR",4634,"Frente Amplio",2010,2013,47,"Diputado","Titular",NA,1,"1929-07-07","2010-02-15","2015-02-14","2012-08-15",NA,80,80,1,"1985-2020"
"GONI","ROMERO","JOSE","RODRIGO",4618,"Partido Nacional",2010,2015,47,"Diputado","Titular",NA,1,"1962-08-10","2010-02-15","2015-02-14","2012-08-15",NA,47,47,1,"1985-2020"
"MANANA","DOGLIOTTI","DANIEL","EDUARDO",4559,"Partido Nacional",2010,2015,47,"Diputado","Titular",NA,1,"1955-01-10","2010-02-15","2015-02-14","2012-08-15",NA,55,55,1,"1985-2020"
"MARTINEZ",NA,"JODAMI",NA,4608,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,1,"1975-10-03","2010-02-15","2015-02-14","2012-08-15",NA,34,34,1,"1985-2020"
"OLIVERA","RANGEL","HECTOR","RAUL",4600,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,1,"1964-11-29","2010-02-15","2015-02-14","2012-08-15",NA,45,45,1,"1985-2020"
"PARDINAS","SALOMON","ANGEL","YERU",4537,"Frente Amplio",2010,2014,47,"Diputado","Titular",NA,1,"1955-10-09","2010-02-15","2015-02-14","2012-08-15",NA,54,54,1,"1985-2020"
