"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","inicio","fin","legislatura","cargo","status","circunscripcion","sexo","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","agregado","legislaturas_agrupadas"
"PEREZ","BONAVITA","SILVANA","LOURDES",2288,"Cabildo Abierto",2020,2025,49,"Diputado","Titular","Montevideo",0,"1985-08-06","2020-02-15","2025-02-14","2022-08-16",NA,34,34,0,"1985-2025"
"PERRONE","CABRERA","ALVARO","LUIS",4189,"Cabildo Abierto",2020,2025,49,"Diputado","Titular","Canelones",1,"1977-06-08","2020-02-15","2025-02-14","2022-08-16",NA,42,42,0,"1985-2025"
"POSADA","PAGLIOTTI","IVAN","ADAN",1127,"Partido Independiente",2020,2025,49,"Diputado","Titular","Montevideo",1,"1953-12-25","2020-02-15","2025-02-14","2022-08-16",NA,66,66,0,"1985-2025"
"RADICCIONI","CURBELO","FRANCISCO","JAVIER",2432,"Partido Nacional",2020,2025,49,"Diputado","Titular","Canelones",1,"1982-12-03","2020-02-15","2025-02-14","2022-08-16",NA,37,37,0,"1985-2025"
"REISCH","VILA","NIBIA","ANDREA",2393,"Partido Colorado",2020,2025,49,"Diputado","Titular","Colonia",0,"1971-06-28","2020-02-15","2025-02-14","2022-08-16",NA,48,48,0,"1985-2025"
"RODRIGUEZ","DA COSTA LEITES","JUAN","MARTIN",4361,"Partido Nacional",2020,2025,49,"Diputado","Titular","Montevideo",1,"1982-12-21","2020-02-15","2025-02-14","2022-08-16",NA,37,37,0,"1985-2025"
"RODRIGUEZ","GALVEZ","CARLOS",NA,4549,"Frente Amplio",2020,2025,49,"Diputado","Titular",NA,1,"1971-11-29","2020-02-15","2025-02-14","2022-08-16",NA,48,48,0,"1985-2025"
"MICHELINI","DELLE PIANE","RAFAEL","EUGENIO",925,"Frente Amplio",2005,2010,46,"Senador","Titular",NA,1,"1958-10-30","2005-02-15","2010-02-14","2007-08-16",NA,46,46,1,"1985-2025"
"MOREIRA","REISCH","CARLOS","ALBERTO",4000,"Partido Nacional",2005,2010,46,"Senador","Titular",NA,1,"1946-05-16","2005-02-15","2010-02-14","2007-08-16",NA,58,58,0,"1985-2025"
"RODRIGUEZ","MERLO","CONRADO","HERNAN",2380,"Partido Colorado",2020,2025,49,"Diputado","Titular","Montevideo",1,"1980-03-24","2020-02-15","2025-02-14","2022-08-16",NA,39,39,0,"1985-2025"
"RUIZ","BRITO","JUAN","FEDERICO",4083,"Frente Amplio",2020,2025,49,"Diputado","Titular","Flores",1,"1979-02-02","2020-02-15","2025-02-14","2022-08-16",NA,41,41,0,"1985-2025"
"SABINI","GIANNECCHINI","SEBASTIAN",NA,2340,"Frente Amplio",2020,2022,49,"Diputado","Titular","Canelones",1,"1981-06-11","2020-02-15","2025-02-14","2022-08-16",NA,38,38,0,"1985-2025"
"SANCHEZ","CAL","DARDO","ANGEL",4084,"Partido Nacional",2020,2025,49,"Diputado","Titular","Treinta y Tres",1,"1957-04-04","2020-02-15","2025-02-14","2022-08-16",NA,62,62,0,"1985-2025"
"SANCHEZ","PEREIRA","ALEJANDRO","DARIO",2317,"Frente Amplio",2020,2020,49,"Diputado","Titular","Montevideo",1,"1980-04-24","2020-02-15","2025-02-14","2022-08-16",NA,39,39,0,"1985-2025"
"SCHIPANI","LARRAURI","FELIPE",NA,4086,"Partido Colorado",2020,2025,49,"Diputado","Titular","Montevideo",1,"1980-01-22","2020-02-15","2025-02-14","2022-08-16",NA,40,40,0,"1985-2025"
"SODANO","CAPELLI","HECTOR","MARTIN",2290,"Cabildo Abierto",2020,2025,49,"Diputado","Titular","Montevideo",1,"1983-10-25","2020-02-15","2025-02-14","2022-08-16",NA,36,36,0,"1985-2025"
"BARREIRO","ALVAREZ","GABRIELA","SUSANA",4140,"Frente Amplio",2020,2025,49,"Diputado","Titular","Montevideo",0,"1962-03-18","2020-02-15","2025-02-14","2022-08-16",NA,57,57,0,"1985-2025"
"SORAVILLA","PINATO","EMILIANO",NA,4926,"Partido Nacional",2025,2025,49,"Diputado","Titular",NA,1,"1987-11-08","2020-02-15","2025-02-14","2022-08-16",NA,32,32,1,"1985-2025"
"SORAVILLA","PINATO","EMILIANO",NA,4926,"Partido Nacional",2020,2024,49,"Diputado","Titular",NA,1,"1987-11-08","2020-02-15","2025-02-14","2022-08-16",NA,32,32,1,"1985-2025"
"TESTA","BRUNEREAU DES HOUILLERES","CARLOS","GABINO",4208,"Cabildo Abierto",2020,2025,49,"Diputado","Titular","Canelones",1,"1964-01-29","2020-02-15","2025-02-14","2022-08-16",NA,56,56,0,"1985-2025"
"TIERNO","FERNANDEZ","NELSON","MARTIN",2326,"Frente Amplio",2020,2025,49,"Diputado","Titular",NA,1,"1968-07-06","2020-02-15","2025-02-14","2022-08-16",NA,51,51,0,"1985-2025"
"TINAGLINI","TEJERA","RUBEN","GABRIEL",5057,"Frente Amplio",2020,2025,49,"Diputado","Titular",NA,1,"1969-10-11","2020-02-15","2025-02-14","2022-08-16",NA,50,50,1,"1985-2025"
"TUCCI","MONTES DE OCA","ANGEL","MARIANO",4896,"Frente Amplio",2020,2025,49,"Diputado","Titular",NA,1,"1982-04-15","2020-02-15","2025-02-14","2022-08-16",NA,37,37,1,"1985-2025"
"UMPIERREZ","CABRERA","ALEJO","ALEJANDRO",2430,"Partido Nacional",2025,2025,49,"Diputado","Titular","Rocha",1,"1965-06-03","2020-02-15","2025-02-14","2022-08-16",NA,54,54,0,"1985-2025"
"UMPIERREZ","CABRERA","ALEJO","ALEJANDRO",2430,"Partido Nacional",2020,2020,49,"Diputado","Titular","Rocha",1,"1965-06-03","2020-02-15","2025-02-14","2022-08-16",NA,54,54,0,"1985-2025"
"UMPIERREZ","DIANO","JAVIER","ERNESTO",4460,"Frente Amplio",2020,2025,49,"Diputado","Titular","Lavalleja",1,"1964-05-15","2020-02-15","2025-02-14","2022-08-16",NA,55,55,0,"1985-2025"
"VARELA","NESTIER","CARLOS","RICARDO",4251,"Frente Amplio",2020,2025,49,"Diputado","Titular","Montevideo",1,"1954-05-01","2020-02-15","2025-02-14","2022-08-16",NA,65,65,0,"1985-2025"
"VEGA","ERRAMUSPE","CESAR","ENRIQUE",2397,"PERI",2020,2025,49,"Diputado","Titular","Montevideo",1,"1962-10-30","2020-02-15","2025-02-14","2022-08-16",NA,57,57,0,"1985-2025"
"VIERA","DIAZ","NICOLAS",NA,2321,"Frente Amplio",2025,2025,49,"Diputado","Titular","Colonia",1,"1988-08-07","2020-02-15","2025-02-14","2022-08-16",NA,31,31,0,"1985-2025"
"VIERA","DIAZ","NICOLAS",NA,2321,"Frente Amplio",2020,2025,49,"Diputado","Titular","Colonia",1,"1988-08-07","2020-02-15","2025-02-14","2022-08-16",NA,31,31,0,"1985-2025"
"ZUBIA","BURGHI","GUSTAVO","HECTOR",2395,"Partido Colorado",2020,2025,49,"Diputado","Titular","Montevideo",1,"1953-04-18","2020-02-15","2025-02-14","2022-08-16",NA,66,66,0,"1985-2025"
"BESOZZI","AROCENA","GUILLERMO","JULIO",2417,"Partido Nacional",2020,2020,49,"Diputado","Titular","Soriano",1,"1961-10-16","2020-02-15","2025-02-14","2022-08-16",NA,58,58,0,"1985-2025"
"BLAS","SIMONCELLI","RODRIGO",NA,2419,"Partido Nacional",2020,2025,49,"Diputado","Titular","Maldonado",1,"1969-10-04","2020-02-15","2025-02-14","2022-08-16",NA,50,50,0,"1985-2025"
"BOTTINO","FIURI","MARIA","CECILIA",2361,"Frente Amplio",2020,2025,49,"Diputado","Titular","Paysandú",0,"1960-10-19","2020-02-15","2025-02-14","2022-08-16",NA,59,59,0,"1985-2025"
"SARTORI","PINEYRO","JUAN","JOSE",2424,"Partido Nacional",2020,2020,49,"Diputado","Suplente",NA,1,"1981-02-06","2020-02-15","2025-02-14","2022-08-16",NA,39,39,0,"1985-2025"
"CABALLERO","ALMEIDA","WILMAN",NA,2291,"Cabildo Abierto",2020,2025,49,"Diputado","Titular","Cerro Largo",1,"1971-07-13","2020-02-15","2025-02-14","2022-08-16",NA,48,48,0,"1985-2025"
"CAGGIANI","GOMEZ","DANIEL",NA,2315,"Frente Amplio",2020,2022,49,"Diputado","Titular","Montevideo",1,"1983-07-20","2020-02-15","2025-02-14","2022-08-16",NA,36,36,0,"1985-2025"
"CAIRO","MODERNEL","ANA","CECILIA",2345,"Frente Amplio",2025,2025,49,"Diputado","Titular","Montevideo",0,"1964-08-02","2020-02-15","2025-02-14","2022-08-16",NA,55,55,0,"1985-2025"
"CAIRO","MODERNEL","ANA","CECILIA",2345,"Frente Amplio",2020,2025,49,"Diputado","Titular","Montevideo",0,"1964-08-02","2020-02-15","2025-02-14","2022-08-16",NA,55,55,0,"1985-2025"
"CAL","URRUTIA","SEBASTIAN","JESUS",2286,"Cabildo Abierto",2020,2025,49,"Diputado","Titular","Maldonado",1,"1990-02-18","2020-02-15","2025-02-14","2022-08-16",NA,29,29,0,"1985-2025"
"CAMARGO","BULMINI","NAZMI",NA,2287,"Cabildo Abierto",2020,2025,49,"Diputado","Titular","Rivera",0,"1982-08-22","2020-02-15","2025-02-14","2022-08-16",NA,37,37,0,"1985-2025"
"CARBALLO","DA COSTA","FELIPE",NA,1618,"Frente Amplio",2020,2025,49,"Diputado","Titular","Montevideo",1,"1972-08-24","2020-02-15","2025-02-14","2022-08-16",NA,47,47,0,"1985-2025"
"CARDOSO","FERREIRA","GERMAN",NA,1622,"Partido Colorado",2021,2025,49,"Diputado","Titular","Maldonado",1,"1973-10-01","2020-02-15","2025-02-14","2022-08-16",NA,46,46,0,"1985-2025"
"CARDOSO","FERREIRA","GERMAN",NA,1622,"Partido Colorado",2020,2020,49,"Diputado","Titular","Maldonado",1,"1973-10-01","2020-02-15","2025-02-14","2022-08-16",NA,46,46,0,"1985-2025"
"CASTAINGDEBAT","COLOMBO","ARMANDO","IRINEO",2406,"Partido Nacional",2020,2025,49,"Diputado","Titular","Flores",1,"1959-10-26","2020-02-15","2025-02-14","2022-08-16",NA,60,60,0,"1985-2025"
"ABI","SAAB FLORES","OSVALDO","VICTOR",5039,"Partido Nacional",2023,2023,49,"Diputado","Suplente",NA,1,"1950-09-12","2020-02-15","2025-02-14","2022-08-16",71,NA,71,1,"1985-2025"
"ABREU","ALVES","TERESA",NA,5071,"Partido Colorado",2020,2024,49,"Diputado","Suplente",NA,0,NA,"2020-02-15","2025-02-14","2022-08-16",NA,NA,NA,1,"1985-2025"
"ABREU","BONILLA","SERGIO",NA,6,"Partido Nacional",2020,2020,49,"Senador","Suplente",NA,1,"1945-11-12","2020-02-15","2025-02-14","2022-08-16",76,NA,76,0,"1985-2025"
"ACUNA","CUADRADO","MARCOS","ANDRES",4994,"Cabildo Abierto",2021,2021,49,"Diputado","Suplente",NA,1,"1975-08-18","2020-02-15","2025-02-14","2022-08-16",46,NA,46,1,"1985-2025"
"ALGORTA","BRIT","FELIPE","JOSE",4769,"Partido Nacional",2023,2024,49,"Diputado","Suplente",NA,1,"1985-07-03","2020-02-15","2025-02-14","2022-08-16",37,NA,37,1,"1985-2025"
"ALVAREZ","BRITO","SUSANA","BEATRIZ",5068,"Cabildo Abierto",2022,2024,49,"Diputado","Suplente",NA,0,"1971-04-15","2020-02-15","2025-02-14","2022-08-16",51,NA,51,1,"1985-2025"
"ALVAREZ","LOPEZ","MARIA","DOLORES",4809,"Partido Nacional",2020,2024,49,"Senador","Suplente",NA,0,"1957-12-13","2020-02-15","2025-02-14","2022-08-16",64,NA,64,1,"1985-2025"
"CATALDI","FREDES","FERNANDO","CARLOS",4936,"Partido Colorado",2021,2023,49,"Diputado","Suplente",NA,1,"1974-06-01","2020-02-15","2025-02-14","2022-08-16",48,NA,48,1,"1985-2025"
"CHARAMELO","FEBLES","RICHARD","OMAR",335,"Partido Nacional",2024,2024,49,"Senador","Suplente",NA,1,"1972-09-15","2020-02-15","2025-02-14","2022-08-16",49,NA,49,0,"1985-2025"
"CHARBONNIER","BIDEGAIN","ALDO","CLAUDIO",4879,"Partido Colorado",2020,2024,49,"Diputado","Suplente",NA,1,"1967-12-07","2020-02-15","2025-02-14","2022-08-16",54,NA,54,1,"1985-2025"
"CHEVALIER","USUCA","LILIANA","BEATRIZ",4982,"Frente Amplio",2020,2024,49,"Diputado","Suplente",NA,0,"1953-11-21","2020-02-15","2025-02-14","2022-08-16",68,NA,68,1,"1985-2025"
"CIANCIARULLO","LANDRY","ANDRES",NA,4891,"Partido Colorado",2020,2021,49,"Senador","Suplente",NA,1,"1976-12-26","2020-02-15","2025-02-14","2022-08-16",45,NA,45,1,"1985-2025"
"CIUTI","PEREZ","LEONARDO","ENRIQUE",4981,"Partido Colorado",2020,2025,49,"Diputado","Suplente",NA,1,"1973-03-02","2020-02-15","2025-02-14","2022-08-16",49,NA,49,1,"1985-2025"
"CIVILA","LOPEZ","GONZALO","MARTIN",3876,"Frente Amplio",2025,2025,49,"Senador","Suplente",NA,1,"1984-12-06","2020-02-15","2025-02-14","2022-08-16",37,NA,37,0,"1985-2025"
"COLLA","ACLAND","MAGDALENA","ERCILIA",4990,"Partido Nacional",2020,2020,49,"Diputado","Suplente",NA,0,"1951-03-03","2020-02-15","2025-02-14","2022-08-16",71,NA,71,1,"1985-2025"
"CONDE","CAETANO","MARIA","LUISA",3199,"Partido Nacional",2020,2020,49,"Diputado","Suplente",NA,0,"1963-03-03","2020-02-15","2025-02-14","2022-08-16",59,NA,59,0,"1985-2025"
"CORDERO",NA,"NICOLAS",NA,5035,"Frente Amplio",2020,2020,49,"Diputado","Suplente",NA,1,NA,"2020-02-15","2025-02-14","2022-08-16",NA,NA,NA,1,"1985-2025"
"CORREA","COSTA","DARWIN","CARLOS",4917,"Partido Nacional",2020,2020,49,"Diputado","Suplente",NA,1,"1976-05-14","2020-02-15","2025-02-14","2022-08-16",46,NA,46,1,"1985-2025"
"CORREA","MARIOSSA","JULIO","DANIEL",4977,"Partido Nacional",2021,2024,49,"Diputado","Suplente",NA,1,"1971-11-11","2020-02-15","2025-02-14","2022-08-16",50,NA,50,1,"1985-2025"
"COSSE","GARRIDO","ANA","CAROLINA",2350,"Frente Amplio",2020,2020,49,"Senador","Suplente",NA,0,"1961-12-25","2020-02-15","2025-02-14","2022-08-16",60,NA,60,0,"1985-2025"
"COSSIA","CAPDEVILA","GASTON","RICARDO",4774,"Partido Nacional",2020,2021,49,"Diputado","Suplente",NA,1,"1971-10-08","2020-02-15","2025-02-14","2022-08-16",50,NA,50,1,"1985-2025"
"COSTA","BELLO","MARIA","ADRIANA",5004,"Frente Amplio",2020,2020,49,"Diputado","Suplente",NA,0,"1966-06-02","2020-02-15","2025-02-14","2022-08-16",56,NA,56,1,"1985-2025"
"CUENCA","PEREZ","IGNACIO","GUSTAVO",4958,"Partido Nacional",2022,2023,49,"Diputado","Suplente",NA,1,"1979-06-20","2020-02-15","2025-02-14","2022-08-16",43,NA,43,1,"1985-2025"
"DA SILVA","CAMBOUE","SEBASTIAN",NA,1697,"Partido Nacional",2020,2024,49,"Senador","Suplente",NA,1,"1972-06-08","2020-02-15","2025-02-14","2022-08-16",50,NA,50,0,"1985-2025"
"DA SILVA","GULARTE","SANTIAGO",NA,5061,"Partido Nacional",2020,2021,49,"Diputado","Suplente",NA,1,"1995-01-01","2020-02-15","2025-02-14","2022-08-16",27,NA,27,1,"1985-2025"
"DALMAO","FRANCIA","DANIEL",NA,4915,"Frente Amplio",2020,2024,49,"Diputado","Suplente",NA,1,"1957-08-27","2020-02-15","2025-02-14","2022-08-16",64,NA,64,1,"1985-2025"
"DAVERI","ARANZABAL","MAURO","FABRICIO",5025,"Partido Nacional",2023,2025,49,"Diputado","Suplente",NA,1,"1996-05-08","2020-02-15","2025-02-14","2022-08-16",26,NA,26,1,"1985-2025"
"DE LEON","ESTEVES","LUIS","EMILIO",4987,"Partido Colorado",2022,2023,49,"Diputado","Suplente",NA,1,"1967-05-09","2020-02-15","2025-02-14","2022-08-16",55,NA,55,1,"1985-2025"
"DE LEON","PEREZ","ENEIDA",NA,2574,"Frente Amplio",2020,2024,49,"Senador","Suplente",NA,0,"1943-01-01","2020-02-15","2025-02-14","2022-08-16",79,NA,79,0,"1985-2025"
"DE MODENA","DELGADO","ANDRES","NICOLAS",4892,"Partido Colorado",2020,2023,49,"Diputado","Suplente",NA,1,"1983-05-25","2020-02-15","2025-02-14","2022-08-16",39,NA,39,1,"1985-2025"
"DELBONO","ROMANO","VALENTINA","ROSSANA",5073,"Frente Amplio",2020,2024,49,"Diputado","Suplente",NA,0,"1994-06-11","2020-02-15","2025-02-14","2022-08-16",28,NA,28,1,"1985-2025"
"DELPINO","ALVAREZ","SERGIO","RAMON",5064,"Partido Nacional",2020,2023,49,"Senador","Suplente",NA,1,"1959-08-23","2020-02-15","2025-02-14","2022-08-16",62,NA,62,1,"1985-2025"
"DENIZ","CAMPOS","MARTHA","MABEL",5019,"Cabildo Abierto",2021,2021,49,"Diputado","Suplente",NA,0,"1965-02-19","2020-02-15","2025-02-14","2022-08-16",57,NA,57,1,"1985-2025"
"DIAZ","ALBERTO","ROBERTO","JAVIER",5048,"Partido Nacional",2020,2020,49,"Diputado","Suplente",NA,1,"1970-07-07","2020-02-15","2025-02-14","2022-08-16",52,NA,52,1,"1985-2025"
"DIAZ","GIMENEZ","MARIA","EMILIA",5005,"Frente Amplio",2022,2024,49,"Diputado","Suplente",NA,0,"1997-08-02","2020-02-15","2025-02-14","2022-08-16",25,NA,25,1,"1985-2025"
"DIAZ","SILVA","JOVENILA",NA,4971,"Partido Nacional",2021,2021,49,"Diputado","Suplente",NA,0,"1968-12-20","2020-02-15","2025-02-14","2022-08-16",53,NA,53,1,"1985-2025"
"DIVERIO","BAGNASCO","RUTH","CELESTE",5058,"Partido Nacional",2021,2023,49,"Diputado","Suplente",NA,0,"1957-11-17","2020-02-15","2025-02-14","2022-08-16",64,NA,64,1,"1985-2025"
"DOS SANTOS","CARAM","MAURICIO",NA,5024,"Partido Nacional",2020,2023,49,"Diputado","Suplente",NA,1,"1989-02-15","2020-02-15","2025-02-14","2022-08-16",33,NA,33,1,"1985-2025"
"DURAN","CLAUSTRE","CARLOS","ALBERTO",4904,"Frente Amplio",2020,2021,49,"Diputado","Suplente",NA,1,"1952-12-07","2020-02-15","2025-02-14","2022-08-16",69,NA,69,1,"1985-2025"
"ELINGER","MELLO","EDUARDO","JAVIER",4923,"Partido Colorado",2020,2024,49,"Diputado","Suplente",NA,1,"1972-06-02","2020-02-15","2025-02-14","2022-08-16",50,NA,50,1,"1985-2025"
"ESQUIVEL","RODRIGUEZ","ALICIA","ANGELA",4880,"Frente Amplio",2021,2024,49,"Diputado","Suplente",NA,0,"1949-09-13","2020-02-15","2025-02-14","2022-08-16",72,NA,72,1,"1985-2025"
"ETCHEVERRY","LIMA","LUCIA","INES",4462,"Frente Amplio",2025,2025,49,"Senador","Suplente",NA,0,"1968-07-12","2020-02-15","2025-02-14","2022-08-16",54,NA,54,0,"1985-2025"
"ETCHEVERRY","LIMA","LUCIA","INES",4462,"Frente Amplio",2024,2024,49,"Senador","Suplente",NA,0,"1968-07-12","2020-02-15","2025-02-14","2022-08-16",54,NA,54,0,"1985-2025"
"ETCHEVERRY","LIMA","LUCIA","INES",4462,"Frente Amplio",2021,2021,49,"Senador","Suplente",NA,0,"1968-07-12","2020-02-15","2025-02-14","2022-08-16",54,NA,54,0,"1985-2025"
"FABRICIO","LLUGDAR","RODRIGO","SEBASTIAN",5053,"Partido Colorado",2020,2020,49,"Diputado","Suplente",NA,1,"1989-05-11","2020-02-15","2025-02-14","2022-08-16",33,NA,33,1,"1985-2025"
"FACHINETTI","CASTINEIRAS","ANGEL","NESTOR",1749,"Partido Colorado",2020,2020,49,"Diputado","Suplente",NA,1,"1970-03-10","2020-02-15","2025-02-14","2022-08-16",52,NA,52,0,"1985-2025"
"FAGALDE","BARTABURU","ALVARO",NA,4881,"Partido Nacional",2021,2022,49,"Diputado","Suplente",NA,1,"1964-07-12","2020-02-15","2025-02-14","2022-08-16",58,NA,58,1,"1985-2025"
"FAJARDO","RIEIRO","MARIA","DE",5006,"Partido Nacional",2025,2025,49,"Senador","Suplente",NA,0,"1960-04-19","2020-02-15","2025-02-14","2022-08-16",62,NA,62,1,"1985-2025"
"FALERO","BERTOLA","JOSE","LUIS",3774,"Partido Nacional",2025,2025,49,"Senador","Suplente",NA,1,"1966-05-19","2020-02-15","2025-02-14","2022-08-16",56,NA,56,0,"1985-2025"
"FALERO","BERTOLA","JOSE","LUIS",3774,"Partido Nacional",2020,2020,49,"Senador","Suplente",NA,1,"1966-05-19","2020-02-15","2025-02-14","2022-08-16",56,NA,56,0,"1985-2025"
"FERNANDEZ","BAEYENS","DIEGO","JAVIER",4920,"PERI",2020,2020,49,"Diputado","Suplente",NA,1,"1974-03-23","2020-02-15","2025-02-14","2022-08-16",48,NA,48,1,"1985-2025"
"FERNANDEZ","CABRERA","FERNANDO","MARCELO",4586,"Frente Amplio",2020,2023,49,"Diputado","Suplente",NA,1,"1966-06-01","2020-02-15","2025-02-14","2022-08-16",56,NA,56,0,"1985-2025"
"FERNANDEZ","FERREIRA","DIVER","RAMON",4435,"Partido Colorado",2020,2022,49,"Diputado","Suplente",NA,1,"1950-11-25","2020-02-15","2025-02-14","2022-08-16",71,NA,71,0,"1985-2025"
"FERRARI","CARBALLO","GLETEL","BAINER",2668,"Partido Nacional",2021,2024,49,"Diputado","Suplente",NA,0,"1955-12-23","2020-02-15","2025-02-14","2022-08-16",66,NA,66,0,"1985-2025"
"FERRARO","BAZ","CRISTIAN","ALEXIS",2673,"Partido Nacional",2020,2020,49,"Diputado","Suplente",NA,1,"1985-07-08","2020-02-15","2025-02-14","2022-08-16",37,NA,37,0,"1985-2025"
"FERREIRA","FERREIRA","ANGELICA",NA,4536,"Partido Nacional",2020,2022,49,"Diputado","Suplente",NA,0,"1961-11-26","2020-02-15","2025-02-14","2022-08-16",60,NA,60,0,"1985-2025"
"FERREIRA","SIENRA","WILSON","GONZALO",5083,"Cabildo Abierto",2020,2020,49,"Senador","Suplente",NA,1,"1945-12-23","2020-02-15","2025-02-14","2022-08-16",76,NA,76,1,"1985-2025"
"FIGUEIRA","LEIVA","ADRIANA",NA,4873,"Cabildo Abierto",2020,2024,49,"Diputado","Suplente",NA,0,"1967-11-15","2020-02-15","2025-02-14","2022-08-16",54,NA,54,1,"1985-2025"
"FIORITTI","FASANA DE STERN","MARIA","MAGDALENA",5007,"Partido Colorado",2020,2023,49,"Diputado","Suplente",NA,0,"1956-10-03","2020-02-15","2025-02-14","2022-08-16",65,NA,65,1,"1985-2025"
"FORT","PETUTTO","JOANNA",NA,4787,"Partido Nacional",2021,2024,49,"Diputado","Suplente",NA,0,"1979-04-08","2020-02-15","2025-02-14","2022-08-16",43,NA,43,1,"1985-2025"
"FRANCO","TUCHMAN","RODNEY","JOSE",5052,"Frente Amplio",2022,2025,49,"Diputado","Suplente",NA,1,"1977-09-05","2020-02-15","2025-02-14","2022-08-16",44,NA,44,1,"1985-2025"
"FRANQUEZ","HIDALGO","ANNA","GIANELLA",4897,"Partido Nacional",2020,2021,49,"Diputado","Suplente",NA,0,"1972-01-29","2020-02-15","2025-02-14","2022-08-16",50,NA,50,1,"1985-2025"
"FRATTI","SILVEIRA","LUIS","ALFREDO",3907,"Frente Amplio",2025,2025,49,"Senador","Suplente",NA,1,"1956-10-23","2020-02-15","2025-02-14","2022-08-16",65,NA,65,0,"1985-2025"
"FROS","ALVAREZ","VIRGINIA",NA,5077,"Partido Nacional",2020,2022,49,"Diputado","Suplente",NA,0,"1970-12-14","2020-02-15","2025-02-14","2022-08-16",51,NA,51,1,"1985-2025"
"FROS","RODRIGUEZ","MARGARITA",NA,4997,"Partido Nacional",2020,2023,49,"Diputado","Suplente",NA,0,"1964-11-03","2020-02-15","2025-02-14","2022-08-16",57,NA,57,1,"1985-2025"
"FUENTES","BORDENAVE","GLORIA","FELICIDAD",4946,"Frente Amplio",2020,2021,49,"Diputado","Suplente",NA,0,"1959-09-30","2020-02-15","2025-02-14","2022-08-16",62,NA,62,1,"1985-2025"
"FUENTES","MATIAS","PABLO","ANDRES",5041,"Frente Amplio",2023,2025,49,"Diputado","Suplente",NA,1,"1976-12-19","2020-02-15","2025-02-14","2022-08-16",45,NA,45,1,"1985-2025"
"FUENTES","MATIAS","PABLO","ANDRES",5041,"Frente Amplio",2020,2020,49,"Diputado","Suplente",NA,1,"1976-12-19","2020-02-15","2025-02-14","2022-08-16",45,NA,45,1,"1985-2025"
"FUMERO","CASAS","ALBERTO","ALEJANDRO",4877,"Frente Amplio",2020,2024,49,"Diputado","Suplente",NA,1,"1986-09-09","2020-02-15","2025-02-14","2022-08-16",35,NA,35,1,"1985-2025"
"GALIANO","BRIAN","WILLIAM","AMILCAR",5079,"Partido Nacional",2020,2025,49,"Diputado","Suplente",NA,1,"1959-03-16","2020-02-15","2025-02-14","2022-08-16",63,NA,63,1,"1985-2025"
"GALLO","CANTERA","LUIS","ENRIQUE",4234,"Frente Amplio",2020,2024,49,"Diputado","Suplente",NA,1,"1961-01-14","2020-02-15","2025-02-14","2022-08-16",61,NA,61,0,"1985-2025"
"GARCIA","CHOCHO","EDGARDO","ROBERTO",4922,"Partido Nacional",2020,2020,49,"Diputado","Suplente",NA,1,"1964-10-20","2020-02-15","2025-02-14","2022-08-16",57,NA,57,1,"1985-2025"
"GARCIA","COLMAN","CARLOS","ALBERTO",4905,"Cabildo Abierto",2020,2022,49,"Diputado","Suplente",NA,1,"1959-08-13","2020-02-15","2025-02-14","2022-08-16",63,NA,63,1,"1985-2025"
"GARCIA","DE BARROS","LILIAN","YANET",4984,"Frente Amplio",2020,2025,49,"Diputado","Suplente",NA,0,"1961-03-20","2020-02-15","2025-02-14","2022-08-16",61,NA,61,1,"1985-2025"
"GARCIA","SOSA","ALEM",NA,609,"Partido Nacional",2020,2020,49,"Senador","Suplente",NA,1,"1946-02-21","2020-02-15","2025-02-14","2022-08-16",76,NA,76,0,"1985-2025"
"GARCIA","VERA","GRACIELA",NA,4779,"Frente Amplio",2024,2025,49,"Senador","Suplente",NA,0,"1952-11-26","2020-02-15","2025-02-14","2022-08-16",69,NA,69,1,"1985-2025"
"GARCIA","VERA","GRACIELA",NA,4779,"Frente Amplio",2020,2024,49,"Senador","Suplente",NA,0,"1952-11-26","2020-02-15","2025-02-14","2022-08-16",69,NA,69,1,"1985-2025"
"GERIBON","HERRERA","HUGO","GONZALO",4955,"Partido Nacional",2020,2024,49,"Diputado","Suplente",NA,1,"1970-09-13","2020-02-15","2025-02-14","2022-08-16",51,NA,51,1,"1985-2025"
"GIURIA","BARBOT","RAUL","BARTOLOME",1815,"Partido Nacional",2023,2024,49,"Senador","Suplente",NA,1,"1948-03-31","2020-02-15","2025-02-14","2022-08-16",74,NA,74,0,"1985-2025"
"GIURIA","BARBOT","RAUL","BARTOLOME",1815,"Partido Nacional",2021,2021,49,"Senador","Suplente",NA,1,"1948-03-31","2020-02-15","2025-02-14","2022-08-16",74,NA,74,0,"1985-2025"
"GOMEZ",NA,"KARINA",NA,4979,"Frente Amplio",2023,2023,49,"Diputado","Suplente",NA,0,"1974-12-10","2020-02-15","2025-02-14","2022-08-16",47,NA,47,1,"1985-2025"
"GOMEZ","BERRUTTI","ALVARO",NA,4882,"Cabildo Abierto",2020,2023,49,"Diputado","Suplente",NA,1,"1988-07-03","2020-02-15","2025-02-14","2022-08-16",34,NA,34,1,"1985-2025"
"GOMEZ","FERNANDEZ","SUSANA","ESTHER",5069,"Partido Nacional",2020,2023,49,"Diputado","Suplente",NA,0,"1963-03-31","2020-02-15","2025-02-14","2022-08-16",59,NA,59,1,"1985-2025"
